id,object,gripper_finger_1_joint,gripper_finger_2_joint,direction,qw,qx,qy,qz,pos-x,pos-y,pos-z,eps_l1,vol_l1,,,,,
0,corn_flakes_package,-0.15,1,SIDE,1,0,0,0,0,0,0,0.01,0.0005,0,,,,
1,corn_flakes_package,-0.15,1,SIDE,0.707,0,-0.707,0,170,0,150,0.01,0.0005,1,,,,
2,corn_flakes_package,-0.15,1,SIDE,0.707,0,0.707,0,-170,0,150,0.01,0.0005,2,,,,
3,corn_flakes_package,-0.15,1,SIDE,0,0,1,0,0,0,400,0.01,0.0005,3,,,,
4,corn_flakes_package,-0.15,1,SIDE,0,0,0,1,0,20,-70,0.01,0.0005,4,,# x: width (w),# y : outside (t),#z: long (l)
5,corn_flakes_package,-0.15,1,SIDE,0,0.707,0,-0.707,170,0,150,0.01,0.0005,5,,,,
6,corn_flakes_package,-0.15,1,SIDE,0,0.707,0,0.707,-170,0,150,0.01,0.0005,6,,,,
7,corn_flakes_package,-0.15,1,SIDE,0,0,1,0,0,0,400,0.01,0.0005,7,,,,
8,corn_flakes_package,-0.15,1,SIDE,0.707,0,0,-0.707,-20,0,-70,0.01,0.0005,8,,# x: t(pos_x),#y : w(pos_z),#z:l (pos_y)
9,corn_flakes_package,-0.15,1,SIDE,0.5,0.5,0.5,-0.5,0,170,150,0.01,0.0005,9,,,,
10,corn_flakes_package,-0.15,1,SIDE,0.5,-0.5,-0.5,-0.5,0,-170,150,0.01,0.0005,10,,,,
11,corn_flakes_package,-0.15,1,SIDE,0,-0.707,0.707,0,0,0,400,0.01,0.0005,11,,,,
